"","x"
"433","RT @MsCosmoDJ: All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/1978bcFRnz https://t.co/NcemadYK6z"
"434","Kendrick gets the key to Compton, drake gets a key to Toronto, J. Coles tracks go platinum  but I'm all focused on Kanye dropping T.L.O.P"
"435","Wow, these before and after pictures of Coles haircut are crazy https://t.co/f2ncnQelnl"
"436","@AndrewPStreet @smh Kinder surprise dude shouldn't have been thwarted in his quest for love? Down, Down, Romance is Down... #Coles Fail."
"437","@to0tsie_2 if u ever get in coles stream call him moss man k"
"438","Cosmopolitan's Joanna Coles is Editor of the Year. https://t.co/nnxUlzTDzs"
"439","RT @DailyMailAU: Woman complains to Woolworths because they won't exchange Coles milk https://t.co/0cfwpjqLza https://t.co/TnqaJ4gDsW"
"440","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/QxmgSxDsAK https://t.co/ZEIWOxlI5Y"
"441","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/Fhzn5XmuWF https://t.co/4taUi5K3fv"
"442","RT @WORIDSTARC0MEDY: WHY IS THIS SO FUNNY Ì†ΩÌ∏≠Ì†ΩÌ∏ÇÌ†ΩÌ∏≠ https://t.co/WV3rwTS1tf"
"443","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/coVWOeWt0M https://t.co/DR2l9ZykfZ"
"444","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/chG5clTCP9 https://t.co/l7HztcKPQ2"
"445","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/fSLDaAJdGs https://t.co/OunxeU6zq7"
"446","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/ZpxQ7vN57L https://t.co/xpzUQ3cbYG"
"447","RT @dwilliamson931: @matthew_mitcham Mate you could wear a Coles bag and still look great!"
"448","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/ej7IATy50K https://t.co/LZENIJ5ey1"
"449","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/xkOmwflC8B https://t.co/G7d82XJCNJ"
"450","@matthew_mitcham Mate you could wear a Coles bag and still look great!"
"451","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/6gqMevkN0Y https://t.co/EokxHWfj8t"
"452","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/YJd3mbA1xQ https://t.co/hUiSIs4MfN"
"453","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/3VAfBlBvAu https://t.co/iQp8ghbAmt"
"454","All 3 Of J. Cole‚Äôs Albums Are Now Certified Platinum https://t.co/xtQSar9ne3 https://t.co/3JtSgKGEIw https://t.co/o8mJSVMpEk"
"455","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/xtQSar9ne3 https://t.co/3JtSgKGEIw"
"456","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/jlUeHNq37V https://t.co/M8fwIZiVLW"
"457","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/YCpe9thXfM https://t.co/uAbiyljPQO"
"458","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/Us0zqPmqGl https://t.co/u6CTiNWqpe"
"459","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/cSufOUAdAS https://t.co/mANwDYfVsc"
"460","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/2WW0Dyvnql https://t.co/6mCfurWQot"
"461","RT @ComplexMag: .@JColeNC's 'Born Sinner' and 'Cole World: The Sideline Story' are now certified platinum. https://t.co/WP2IWbboBU"
"462","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/ip0yCsPuco https://t.co/KtPPeinizW"
"463","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/d1IBi2heEU https://t.co/LPmGmY638S"
"464","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/kMs8VvRWXH https://t.co/gJ2M7apyAc"
"465","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/xdXSdqIrXX https://t.co/wWWvSDAZyE"
"466","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/S3sXqfJAWZ https://t.co/qGxRXMf5RI"
"467","Everybody come fw my bro J.Coles Birthday Bash .‚ÄºÔ∏è
Hmu for DetailsÌ†ΩÌ∏à https://t.co/gjtqlrFx9M"
"468","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/p6FWje5zzb https://t.co/suakOW3ezD"
"469","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/MG7l96i2gq https://t.co/Dcd1DQWTqT"
"470","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/534sZefj30 https://t.co/4f35EB3bTI"
"471","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/didewamnbF https://t.co/UrHkXxVTDw"
"472","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/bXXXQPWTiX https://t.co/orvXMFa3NQ"
"473","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/bEgI3xuFcp https://t.co/X5bNZCBEil"
"474","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/fK3EWYRplu https://t.co/oiWoCGR5Ny"
"475","RT @MsCosmoDJ: All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/1978bcFRnz https://t.co/NcemadYK6z"
"476","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/G6iYyTE8EJ https://t.co/YBb6H0jAyH"
"477","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/0xfnyAQkGR https://t.co/PSHhXtDpYB"
"478","@bengelinas Not far enough."
"479","All 3 Of J. Cole‚Äôs Albums Are Now Certified¬†Platinum https://t.co/jsmdI0uPph https://t.co/yOCWAPgIAF"
"480","@k_bissh @LitFreestyles true I'm just waiting for j.coles new album"
"481","RT @adda_boi: Best protein powder you can buy tbh https://t.co/E706V5GtcN"
"482","RT @jdgmntgay: this pic saved my life. http://t.co/azQ0q0UOHA"
"483","J„Éª„Ç≥„Éº„É´„ÅÆ„Åì„Çå„Åæ„Åß„Å´„É™„É™„Éº„Çπ„Åó„Åü3Êûö„ÅÆ„Ç™„É™„Ç∏„Éä„É´„Éª„Ç¢„É´„Éê„É†ÂÖ®„Å¶„ÅåRIAA„ÅÆ„Çπ„Éà„É™„Éº„Éü„É≥„Ç∞„Å´Èñ¢„Åó„Å¶„ÅÆË¶èÂÆöÂ§âÊõ¥„Å´„Çà„Çä„ÄÅÊñ∞„Åü„Å´„Éó„É©„ÉÅ„Éä„Å´Ë™çÂÆö„Åï„Çå„Åü„Çì„Åß„Åô„Å®ÔºÅhttps://t.co/Q3Ak21OiGq"
"484","@cole_swinney @BrandonErby14 yeah Coles right. Idk who you are, but don't get one lol"
"485","RT @MsCosmoDJ: All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/1978bcFRnz https://t.co/NcemadYK6z"
"486","@chutte0sv empat√≥ con el FAS. Pero tiene una explicaci√≥n son malos con m de mier...coles"
"487","All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/1978bcFRnz https://t.co/NcemadYK6z"
"488","Cuando veo que los coles tienen su estado voy cogiendo rumbo, eso ese presta para peleas y no aguanta."
"489","#YoConfiesoQue ya falta poco para el BANDERAZO DE LA 16 CON TODOS LOS COLES DE MORENO UNIDOS"
"490","Coles supermarket blazing it up."
"491","NIIIIIICE! https://t.co/NHnmsQIh0t"
"492","@Matt_Tinney @Coles that is the most amazing taste sensation"
"493","RT @Ana_Rodriguez_A: Coles de bruselas #KCA #VotaMarioBautista"
"494","@coles_madison @taylorbelms Neither did mine Ì†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"495","Nudes/videos of her playing with that pussy... https://t.co/6eNS2ZWQA5"
"496","Will Coles and Woolies lift their game? https://t.co/YXQ1Ty5v7P (Business) #melbourne #victoria"
"497","Coles de bruselas #KCA #VotaMarioBautista"
"498","@JColeNC thank you for the music."
"499","@studioeden2 @Be_Busta just went into Coles in S.A and this is what I mean! They're on special btw... https://t.co/NiC5Abp6GP"
"500","@SalaamRelli @Marcus22Sonnier all of coles radio singes prior to fhd were made with the intent to be catchy"
"501","@coles_baby LINE„Å£„Å¶‰æøÂà©„Å†„Å≠„Éºw„Åì„ÅÆ„ÇÑ„Çä„Å®„Çä„Åó„Å¶„Çã„Çì„Å™„Çâ„ÄÅ„ÇÇ„ÅÜ„ÇÇ„Çâ„Å£„Å¶„ÇÇ„Çâ„Åà„Çã„ÅÆ„ÅØÁ¢∫ÂÆü‚ú®„Çø„Ç§„Éü„É≥„Ç∞„Åø„ÅØ„Åã„Çâ„Å£„Å¶„Ç≥„ÉÉ„ÇΩ„É™Ê∏°„Åô„ÅÆ„Åò„ÇÉ‚ú®„Éï„Ç°„Ç§„ÉÉ‚ú®„ÅÇ„ÄÇÂÄã‰∫∫„É™„ÉóËøî„ÅØ„ÅÑ„Çâ„Å™„ÅÑ„Çà‚ô°"
"502","Im outchea loosing tho!!! https://t.co/2LIxCciMmu"
"503","Bruh....
My snap DM hillarious!"
"504","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"505","@coles_baby „Åà„ÄÇ„Åì„Çå„ÇÇ„ÅÜ„ÄÅÂΩº„Å´Ê∞óÊåÅ„Å°„Å∞„Çå„Å¶„Çã„Çà„Å≠ÔºüÔºÅ"
"506","@davidc_coles @Music_Brownlow Mama Weer All Crazee Now   :P"
"507","Coles has all your Valentine's Day needs in 1 convenient location ÌÆ∏Ìº¥ÌÆ∏Ìº¥ÌÆ∏Ìº¥"
"508","RT @ComplexMag: .@JColeNC's 'Born Sinner' and 'Cole World: The Sideline Story' are now certified platinum. https://t.co/WP2IWbboBU"
"509","Coles supermarket blazing it up. via /r/funny https://t.co/i5wC43ZmHy"
"510","@Matt_Tinney @Coles yeah gotta check everything,  unfortunately. Ì†ΩÌ∏èÌ†ΩÌ∏ï"
"511","RT @Matt_Tinney: Dear @Coles, This meat is so yesterday. #Feb14 https://t.co/mCV87CZdUM"
"512","No dig but @s_bridges didn‚Äôt realise his fancy hipster beer was really the Coles homebrand one"
"513","Damn! https://t.co/KM2aNmYSRk"
"514","RT @Matt_Tinney: @oliverpeterson @Coles Usual Sunday night fare, mate. Nothing special. https://t.co/A4IrMUr7Rh"
"515","I need to come clean -I reacquainted myself with the  good time rock &amp; roll that is Slade #Alive  &amp; very happy I am too! @Music_Brownlow"
"516","Coles facing infringement notices after police and RMS raid uncovers heavy vehicle breaches https://t.co/HrnnV0Ce9V"
"517","All 3 Of J. Cole's Albums Are Now Certified Platinum #HipHopnews https://t.co/yBYqfYkMJv"
"518","#HappyValentinesDay from all of us here at Coles Square One! We &lt;3 you!

#valentines #bemine‚Ä¶ https://t.co/NsZbbRHIJF"
"519","He paid tho... https://t.co/W8WfMKlUqi"
"520","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"521","@oliverpeterson @Coles Usual Sunday night fare, mate. Nothing special. https://t.co/A4IrMUr7Rh"
"522","When bae knocks on your door Ì†ΩÌ∏Ç #REPOST (Vine by @Patrick_Coles) https://t.co/C9znLJo7aC"
"523","Que paja eso de FELIZ DIA DEL AMOR Y LA AMISTAD. pura mier.......coles. eso no existe. no hay nada mas falso que ese dia."
"524","""Gloria"" off PRISM by THE PRISONERÔº†Êñ∞ÂÆø 2016Âπ¥2Êúà06Êó•: https://t.co/NUgTQuLkmc via @YouTube"
"525","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"526","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"527","RT @I_Exude_Sarcasm: Light skins gained too much exposure tonight RT @thatbadmankaleb: Lebron or KD gotta drop 50 tomorrow just for the sak‚Ä¶"
"528","@Michael_Coles @fluidfyre that's racist"
"529","The Saffire Hotel in Coles Bay, Tasmania. https://t.co/BBL2e0d4UA"
"530","RT @ComplexMag: .@JColeNC's 'Born Sinner' and 'Cole World: The Sideline Story' are now certified platinum. https://t.co/WP2IWbboBU"
"531","Ì†ΩÌ∏ÇÌ†ΩÌ≤Ä (Vine by @Patrick_Coles) https://t.co/aOD9yh2LcC"
"532","Coles Calligraphy Wooden Pen and Ink Set  https://t.co/xBX4izcuuU https://t.co/iQwSDNfYch"
"533","RT @niko_mgz: He visto que otros coles se toman una foto de la Gen16 completa, y yo me pongo a pensar que una de la del cole ser√≠a como imp‚Ä¶"
"534","RT @30SecondRaps: Today is Rick Ross and J Coles birthday https://t.co/F8U6FU6fb8"
"535","RT @ozbargain: tightarse: Coles 1/2 Price: All Nivea Product, Sara Lee Tubs $4.49, Weis 4pk $3.39, Twisties $0.88 ... https://t.co/3edynoLQ‚Ä¶"
"536","When someone cute finally walks into a party Ì†ΩÌ∏Ç @thenickcolletti (Vine by @Patrick_Coles) https://t.co/wdBhWlh2nP"
"537","All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/Q56YBMrSy7"
"538","Happy Valentine's Day:  Nat King Cole's ""Aquellos ojos verdes""........click to read.....https://t.co/0np4WIH2wZ"
"539","@taylorbelms @RachelCaldwell_ My parents never taught me how to share"
"540","2 piegeons in Coles https://t.co/Vi4SfK9Fq6"
"541","@RachelCaldwell_ yes but you &amp; @coles_madison will have to share me Ì†ΩÌ∏ò"
"542","I love j Coles music but mr west is the one https://t.co/x8eMbHWssm"
"543","Cat whip Ì†ΩÌ∞± Jake Capo #Whip Lets get this video to go viral! Revine and share it! (Vine by @Patrick_Coles) https://t.co/JbchxU3KZA"
"544","RT @RobyRozay: @cassietaylor230 @colehunter_13 what do you think of Coles hairline? https://t.co/b2tcv4ruGd"
"545","@cassietaylor230 @colehunter_13 what do you think of Coles hairline? https://t.co/b2tcv4ruGd"
"546","RT @adelgaza20: MEJORA TU DIGESTI√ìN Y PIERDE PESO 
Coles rizadas (kale) 
Apio
Lim√≥n
Zanahoria
Manzana verde o amarilla
Linaza molida https:‚Ä¶"
"547","@Matt_Tinney @Coles what are you cooking Tinney?"
"548","RT @DailyChiefers: .@JColeNC's ""Cole World: The Sideline Story"" &amp; ""Born Sinner"" have both gone Platinum: https://t.co/tflOhJ6Cus https://t.‚Ä¶"
"549","All 3 Of J. Cole's Albums Are Now Certified Platinum: Nicki Minaj, Future and Kid Ink are among those newly aw... https://t.co/c61JoufxXO"
"550","Can't wait for Kendrick Lamar and J.Coles album bruh"
"551","RT @DailyChiefers: .@JColeNC's ""Cole World: The Sideline Story"" &amp; ""Born Sinner"" have both gone Platinum: https://t.co/tflOhJ6Cus https://t.‚Ä¶"
"552","RT @ComplexMag: .@JColeNC's 'Born Sinner' and 'Cole World: The Sideline Story' are now certified platinum. https://t.co/WP2IWbboBU"
"553","You are not the father! @KingBach  #ButThatBackFlipTho #BringingItBack Everyone ta... (Vine by @Patrick_Coles) https://t.co/CB10yBZjh3"
"554","I always see the weirdest shit at Walmart #bruh (Vine by @Patrick_Coles) https://t.co/gxDtpiBPLm"
"555","@yousisterintang Ì†ºÌΩå toma para q comas o te lo coles ;))"
"556","@Raeanne_Alvarez @cc1mexxii Coles coming too if that's cool"
"557","Dear @Coles, This meat is so yesterday. #Feb14 https://t.co/mCV87CZdUM"
"558","You caught me trippin Ì†ΩÌ∏Å #DoTheShoulderBump (Vine by @Patrick_Coles) https://t.co/m1bVEFJAAl"
"559","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"560","All 3 Of J. Cole's Albums Are Now Certified Platinum - Nicki Minaj, Future and Kid Ink are among those newly aw... https://t.co/JR1HYkTV7K"
"561","I walked into Coles and was disappointed the Hot Crossed Buns weren't Hot Crossed Bun...nies."
"562","#Australia! #win a week's worth of shopping @Coles if you cook &amp; share this awesome prawn curry https://t.co/ZLYXljrXlE #oceanhero"
"563","RT @NaomiVallejos: But you could miss me with all that"
"564","When you hit a cat going to Coles house‚ù§Ô∏èÌ†ΩÌ∏≠"
"565","https://t.co/bSLyLZxq0c 
ok listen to this it's actually good and they all go to my school"
"566","When your dogs turnt af (Vine by @Patrick_Coles) https://t.co/GVsqbbd57v"
"567","@coles_baby 
ÊÇî„ÅÑ„ÅÆÊÆã„Çâ„Å™„ÅÑ„Çà„ÅÜ„Å´È†ëÂºµ„Çä„Å™ÔºÅÔºÅÔºÅ
„ÄåÂæåÊÇîÂÖà„Å´Á´ã„Åü„Åö„Äç„Å†„ÇàÔºÅÔºÅ

„ÇÅ„Åö„Çâ„Åó„ÅèÁúüÈù¢ÁõÆ„Å™„Åì„Å®Ë®Ä„Å£„Å¶„Çã„Åø„Åó„Åá„Çã‚ô°"
"568","Haiti: Haiti : Les smartphone peuvent-ils am√©liorer les √©coles ? https://t.co/9bYYxnCSmF"
"569","RT @brucerossbrc: Barnaby's rise to expose fundamental conflict
Libs are party of Coles/Woolworths who crush small business &amp; farmers - the‚Ä¶"
"570","RT @borchtheTorch: Coincidence I've been driving 2 miles and have seen 2 cars in the ditch and one has a Bernie sticker and one has a Hilla‚Ä¶"
"571","RT @ComplexMusic: .@JColeNC's 'Born Sinner' and 'Cole World: The Sideline Story' are now certified platinum. https://t.co/RJT3Er6RH6"
"572","RT @GuysOnTheBlock: All 3 Of J. Cole's Albums Are Now Certified Platinum: Nicki Minaj, Future and Kid Ink are among those newly aw... https‚Ä¶"
"573","@coles_baby „Åù„Çì„Å™„ÅÆÊ∞ó„Å´„Åó„Å™„ÅÑ„Åß„Åä„ÅëÔºÅÂë®„Çä„ÅØÌ†ºÌΩ†„Å†„Å®ÊÄù„ÅàÔºÅ
ÊÇî„ÅÑ„ÇíÊÆã„Åï„Å™„ÅÑ„Çà„ÅÜ„Å´ÔºÅÊú¨ËÉΩ„ÅÆ„Åæ„Åæ„Å´„Å≠ÔºÅ„Åø„Çì„Å™ÂøúÊè¥„Åó„Å¶„Çã„ÇàÔºÅ
„Çà„Åî„Å£„Å°„Åµ„ÅÅ„ÅÑ„Å£ÔºÅÔºÅÔºÅ"
"574","RT @kanyewest: The boss: thank so much Anna for coming to my show!!! https://t.co/VAwzk0SDUw"
"575","Lee, Coles Capture Gold as NSU Men Place 5th at MEAC Indoor Championship https://t.co/iHs4ZKpsNc"
"576","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"577","RT @pollLituation: Does j.coles rich niggas speak to u on levels ?"
"578","@coles_baby „É™„Éó„Å™„Çì„Åã„ÅÑ„ÅÑ„Åã„Çâ„ÄÅÁõÆ„ÅÆÂâçÁ≤æ‰∏ÄÊùØÈ†ëÂºµ„ÇåÔºÅ„ÉÅ„Éß„Ç≥ÊåÅ„Å£„Å¶„Åç„Å¶„Çã„Çì„Åß„Åó„ÇáÔºü ÊÇî„ÅÑÊÆã„Åô„Å™„ÇàÔºÅÔºÅ(pÔΩÄÔΩ•œâÔΩ•¬¥q)‚òÖ"
"579","there's always that one kid who thinks he can sing  #ifyoulovemeletmego (Vine by @Patrick_Coles) https://t.co/eVZ3OuN88l"
"580","RT @berniethoughts: WHY INSTEAD OF DRAGONS WE HAVE ANIMALS LIKE THIS https://t.co/ioNcvaR5Qm"
"581","I finally passed my driving test! w/ @DanDriggs (Vine by @Patrick_Coles) https://t.co/FY4cqmRVtZ"
"582","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"583","@Michael_Coles @masterwaffle *steps out of this thread*"
"584","Aw man, I‚Äôm out of Tim Tams. Lucky they‚Äôre on special at Coles at the moment."
"585","@fluidfyre @masterwaffle if it's not Solas' fault, it's some other asshole apostate's.  Probably an Elf."
"586","@coles_username  https://t.co/Te18dpVty7"
"587","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"588","@JoannaColes
is taking advertising to new level: https://t.co/EoKtNEruZ6"
"589","Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/c66KTvhNRH"
"590","Haiti: Haiti : Les smartphone peuvent-ils am√©liorer les √©coles ? https://t.co/3bUuzQ4dYh via @aidnews"
"591","Singing in the shower is always better Part 2 #remake (Vine by @Patrick_Coles) https://t.co/0eOQQRVqt3"
"592","@masterwaffle @Michael_Coles part of me is convinced we're being trolled by Bioware"
"593","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"594","@Michael_Coles you've probably got a 50/50 chance on being right either way"
"595","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"596","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"597","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"598","All 3 Of J. Cole's Albums Are Now Certified Platinum -- https://t.co/4nasfTFUVv via @hiphopdx"
"599","Fetty Wap in highschool #Aaaaa #yeaaaaababy (Vine by @Patrick_Coles) https://t.co/EOHNPgDTIx"
"600","#Coles
#EdadMedia

Lo amo JAJAJAJAJAJAJA &lt;3"
"601","RT @RapFavorites: J. Cole's first two albums, 'Cole World' &amp; 'Born Sinner,' have now officially gone platinum: https://t.co/srp2hI5VeI http‚Ä¶"
"602","@masterwaffle Yeah, I don't think it's actually true, but I like to blame Solas for everything"
"603","Y'all never cease to amaze me with the memes"
"604","Damn it man. https://t.co/brjFG1oMve"
"605","@Jaylen_Gonzalez @sintell_terry @kid_dario just j Coles higher in my opinion, and I respect yours we all got different taste in music"
"606","""Y entonces les daban a los vasallos una col para su familia de 16,para comer por una semana. No, estoy exagerando verdad? Mejor dos coles"""
"607","@coles_baby „ÉÅ„É£„É≥„Çπ„ÅØÂæÖ„Å§„Çà„Çä‰Ωú„Å£„ÅüÊñπ„ÅåËâØ„ÅÑ„ÇàÔºÅ„Å°„Çá„Å£„Å®ÂæÖ„Å£„Å¶„Å¶„ÉºÔºÅ„Å®„Åã„ÅÆ‰∏ÄË®Ä„ÅßÂ§ß„Åç„Å™„ÉÅ„É£„É≥„Çπ‰Ωú„Çå„Çã„ÇàÔºÅ„ÅÆ„Åß„ÄÅÈ†ëÂºµ„ÇåÔºÅ*\(^o^)/*"
"608","All 3 Of J. Cole's Albums Are Now Certified Platinum - https://t.co/HgULiW0O5q"
"609","@Michael_Coles It gives me THOUGHTS but I'm not sold on anything"
"610","RT @itsreal85: Trying to get a nigga by putting the sports illustrated swimsuit on after all star game lol"
"611","RT @Seantaneous: yall quick. https://t.co/scujAM85Oa"
"612","He said darkskins where you at I can't see you."
"613","Petty. https://t.co/vvF6B7sLrO"
"614","@masterwaffle Oh my fuck, GODDAMN IT SOLAS. https://t.co/frf1TGTZjx"
"615","@coles_baby ÂøúÊè¥„Åó„Å¶„Çã„Çà
„Åß„ÇÇÁÑ°ÁêÜ„Åó„Å™„ÅÑ„Åß„Å≠ÔºÅ
„Çà„Åî„Å£„Å°„ÅåÂæåÊÇî„Åó„Åæ„Åõ„Çì„Çà„ÅÜ„Å´ÔºÅ"
"616","RT @stephenasmith: Best Slam Dunk contest in years. I slept on this. Didn't see it coming. Gordon and Levine are bringing it"
"617","@xstux618 you work at Coles. Pipe down"
"618","@coles_baby „Çà„Åî„Å£„Å°„Éº  (p&gt;Ôºø&lt;q) „Éï„Ç°„Ç§„Éà„Åß„ÅôÔºÅ"
"619","RT @WeLoveRobDyrdek: AARON GORDON ARE YOU SERIOUS? https://t.co/9KF8Vakg26"
"620","#Follow #TYBOGGIENYC All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/Mz2Nw7ODn1"
"621","tightarse: Coles 1/2 Price: All Nivea Product, Sara Lee Tubs $4.49, Weis 4pk $3.39, Twisties $0.88 ... https://t.co/3edynoLQO0"
"622","RT @MySportsLegion: Zach LaVine, for the win....HE CAN FLY! https://t.co/Puks4dPXLr"
"623","All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/Uowh9ORQa6"
"624","@StarDustShadow @robtachi They call that look ""MIDA Multi-tool"""
"625","@WeirdoQueen For what it's worth, she's approx 31 in Rebels. I think 16 when she quit the Jedi"
"626","RT @LCFC: Join Chris Coles &amp; Chris Powell from 11.30am for all the build-up and exclusive online live commentary of #ArsLei. https://t.co/0‚Ä¶"
"627","@Jaylen_Gonzalez @sintell_terry nah at least in my opinion j Coles mindset, music, lyrics, just everything is great."
"628","1912 Detroit ELECTRIC Gentleman's TOWN CAR AD + COLES PHILLIPS Fadeaway Art Cove https://t.co/D506SPAr2Z https://t.co/XE9sISx5t1"
"629","RT @AlexisLantigua: Ayer, el Pte. Medina entreg√≥ 3,587 t√≠tulos en la prov. Duarte. Hoy, estudiantes de Las Coles, Arenoso reciben bus. http‚Ä¶"
"630","RT @AlexisLantigua: Por instrucciones del Pte. Medina, hoy, los estudiantes de Las Coles, Barraquito y Villa Riva, Duarte reciben buses. ht‚Ä¶"
"631","RT @WeLoveRobDyrdek: Aaron Gordon!!! https://t.co/yHB355OYrd"
"632","@Michael_Coles @robtachi SOON https://t.co/XD8KRxBYb5"
"633","Dropping dimes dropping dimes"
"634","Come to Coles right fucking now! Parties back on bitches"
"635","@didi_moji @isabellemexico pus no fuiste al franc√©s Hidalgo ni a las rosas o coles marianos guadalupanos"
"636","V day is saved. The nice security guard at Coles who asked me out that time just gave me a squashed Ferrero Rocher Ì†ΩÌ≤ú https://t.co/JLEoVU7zC1"
"637","Dunk contest the only thing Minnesota ever gonna win"
"638","@Michael_Coles @StarDustShadow in the cameras? Limited phone selfies."
"639","All 3 Of J. Cole's Albums Are Now Certified Platinum -- https://t.co/6tzRFapsh5 via @hiphopdx"
"640","Start playing back to back in the arena"
"641","Winner"
"642","And it wasn't shaq this time Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"643","That is nice but it's not a 50"
"644","Win $1,000 to spend at Coles! - https://t.co/qstFCVRFgO https://t.co/sCa5AokwwW"
"645","That's not a 50 that's game"
"646","My supervisor almost pushed down the whole staff to make j Coles' donuts."
"647","NO TIES FIGURE THIS OUT NOW"
"648","LET THEM KEEP GOING AGAIN"
"649","RT @Seantaneous: these two lightskin dudes calling on the power of drake in toronto."
"650","RT @Sideline_Cory: Can we just keep have them dunking"
"651","Shaq gon be the one again"
"652","All 3 Of J. Cole's Albums Are Now Certified Platinum - Nicki Minaj, Future and Kid Ink are among those newly aw... https://t.co/zwkSlltcfA"
"653","Elfrid Payton and the weeknd the same damn person"
"654","All 3 Of J. Cole's Albums Are Now Certified Platinum https://t.co/FpTeW1U6DT #news"
"655","EVERYBODY COME TO COLES!!!!!!!!"
