"","x"
"87","They still exist over here!! #Woolworths #Supermarket https://t.co/AM3XqEOrCu https://t.co/GFKjFUNKgK"
"88","#Woolworths is on Web9 - https://t.co/GmyLx2KoEI"
"89","I refuse to use self checkouts.  #Coles and #Woolworths can get stuffed. I like my guys &amp; gals at the checkouts in #Beaconsfield"
"90","#Woolworths is on Web9 - https://t.co/V3Ub1DAqzC"
"91","RT @TWUQueensland: Great morning at the #Woolworths DC talking to drivers about improving safety in the industry #saferates #twuaction http‚Ä¶"
"92","Well done Woolies! Free fruit for kids in store. #fruit #woolworths #kids  @woolworths https://t.co/bhg3lOAcgp"
"93","RT @TWUQueensland: Great morning at the #Woolworths DC talking to drivers about improving safety in the industry #saferates #twuaction http‚Ä¶"
"94","RT @TWUQueensland: Great morning at the #Woolworths DC talking to drivers about improving safety in the industry #saferates #twuaction http‚Ä¶"
"95","Great morning at the #Woolworths DC talking to drivers about improving safety in the industry #saferates #twuaction https://t.co/2JVAJanZsl"
"96","Ohhh fuck Ì†ΩÌ∏® 17 #Woolworths Gang
Why is he doing this to me Ì†ΩÌ∏Ç https://t.co/NtRGJ60jr6"
"97","Hi @Woolworths. is this orange safe to eat? #Woolworths https://t.co/DzdcOHgXyf"
"98","Oz competition watchdog takes retailer to task #Woolworths #agchatoz #agchataus https://t.co/GVI9PA4vtE"
"99","Oz competition watchdog takes retailer to task #Woolworths #agchatoz #agchataus https://t.co/gRZpAVelNP"
"100","RT @CyberGuarana: Yobfebe. Done""@bonang_m: My Valentine‚Äôs Day Collection is now available in store... sneak peek. ‚ù§Ô∏èÌ†ΩÌ±ëÌ†ΩÌ∞ù #Woolworths https://‚Ä¶"
"101","@MeTV #Woolworths here in Toledo, Ohio. I also miss a place called #ValueCity. They had a lot of irregular name brand items for cheap."
"102","Remember the #Woolworths #photobooths of yesteryear? We‚Äôve got your nostalgia covered: https://t.co/lvsGOBImb9 https://t.co/cJ3kyLgIPB"
"103","Mouldy cheese in #Woolworths fridge https://t.co/2xjykdyQ7C https://t.co/A3OzP7pear"
"104","@woolworths $5 each and then 3 days later - rotten! I don't know why I even bother with woolies anymore! #Woolworths https://t.co/zdDLZT1Xm2"
"105","#Woolworths makes board changes https://t.co/WTckntJPqb https://t.co/oDHMht9DEf https://t.co/iQqLuZnT47"
"106","#Woolworths slammed $3.057m #penalty for #unsafe #products #ACCC #NSWFairTrading https://t.co/GS8AhNttbs"
"107","My local #Woolworths this morning - free fruit and water to keep everyone cool! Well done guys! @tweetperth https://t.co/mOM5p3ptbi"
"108","#Woolworths spin-off SCA Property Group boosts FFO guidance. #ausbiz $SCP mcranston1  https://t.co/hdv1tIhjBN https://t.co/ywxKZsyyqg Fin‚Ä¶"
"109","RT @FinancialReview: #Woolworths spin-off SCA Property Group boosts FFO guidance. #ausbiz $SCP @mcranston1  https://t.co/umGWah9lAM https:/‚Ä¶"
"110","#Woolworths spin-off SCA Property Group boosts FFO guidance. #ausbiz $SCP @mcranston1  https://t.co/umGWah9lAM https://t.co/4YBe5sEX5C"
"111","The British Embassy. 
The story of successful UK record covers label distributed through UK #Woolworths #JoeMeek  https://t.co/8GwPgUNszr"
"112","#Woolworths appoints Siobhan McKenna to board as Jane Hrdlicka departs. https://t.co/6ZvYuu6lOP"
"113","#woolworths #carbclever #seededcrackers Me likes..Ì†ΩÌ±ç #beautyshoutbox #beautyblogger #sablogger‚Ä¶ https://t.co/IUD3ll31TO"
"114","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"115","RT @LizeBarmby: I just ate #woolworths prepacked spinach for dinner .....pray for me Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©"
"116","RT @LizeBarmby: I just ate #woolworths prepacked spinach for dinner .....pray for me Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©Ì†ΩÌ≤©"
"117","Yes, it's still water,
and will probably still be water tomorrow,
but just in case, #Woolworths‚Ä¶ https://t.co/h8V8tO5a5N"
"118","Why doesn't my local #woolworths have any watermelon. What an outrage. Ì†ΩÌ∏ñ"
"119","Sydney's supermarket at night! #streetphotography #sydney #CBD #AUSTRALIA #Woolworths @woolworths https://t.co/xrdpdG0oFL"
"120","@GrowcomRachel @NationalFarmers @bellevueluck @lommanr you need #coles #woolworths in discussion, Audit overload for many food businesses!"
"121","#Woolworths ordered to pay  #fines $3 million over #safety of deep-fryer, drain cleaner and other products -ABC News https://t.co/2g1AVuVq9X"
"122","RT @BusinessDay: .@JetstarAirways boss quits #Woolworths board #ausbiz @pwhatch https://t.co/eB7XCK1EOW https://t.co/chVvt27Err"
"123","#Woolworths ordered to pay $3 million penalty over safety of five house brand products https://t.co/5Ie7O9fze4 https://t.co/K6P46rwkxQ"
"124","Check out the non human sources to update you knowledge on #Salmonella anatum https://t.co/ZNwVRcNQ7G @microbiology #coles #woolworths"
"125","RT @FinancialReview: #Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW @suemitchellafr https://t.co/wnzkpEY6Dw https:‚Ä¶"
"126",".@JetstarAirways boss quits #Woolworths board #ausbiz @pwhatch https://t.co/eB7XCK1EOW https://t.co/chVvt27Err"
"127","RT @FinancialReview: #Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW @suemitchellafr https://t.co/wnzkpEY6Dw https:‚Ä¶"
"128","RT @FinancialReview: #Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW @suemitchellafr https://t.co/wnzkpEY6Dw https:‚Ä¶"
"129","#Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW suemitchellafr https://t.co/E8VLfCoAYC https://t.co/KVujueoUuc Fi‚Ä¶"
"130","RT @FinancialReview: #Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW @suemitchellafr https://t.co/wnzkpEY6Dw https:‚Ä¶"
"131","#Woolworths appoints McKenna to board as Hrdlicka departs. #ausbiz $WOW @suemitchellafr https://t.co/wnzkpEY6Dw https://t.co/ByBVVuztLM"
"132","#Woolworths : Board changes https://t.co/S8AROeXlZi $WOW"
"133","RT @w0tn0t: @den2114 I no longer buy meat from @coles nor #woolworths and never will. Boycott these companies."
"134","#Woolworths vibes https://t.co/SN5iTz3Cpm"
"135","RT @kiis1011: Urgent recall of pre-packaged lettuce sold at @Coles and #Woolworths which have been linked to 28 cases of #salmonella 
@Mari‚Ä¶"
"136","Washed-Ready to Eat? You should also mark it as ""Rich in Protein"" #Woolworths  https://t.co/MYBDBxGA9F"
"137","Shout out to Bryanston woolworths for all the free tasters #bestwoolworths #Woolworths"
"138","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"139","Australian family find giant spider crawling in #Woolworths salad mix https://t.co/VZg4WqzRHF https://t.co/TfwRuDlYYO"
"140","#Woolworths -high in food discrimination. No equal access to food. No respect for the slaves who brought culinary skills to this country."
"141","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"142","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"143","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"144","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"145","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"146","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"147","@jamieoliver hey Jamie! What type of mustard do YOU prefer to use in your #coleslaw dressing? I buy your #Woolworths kit and it's delicious!"
"148","RT @STcom: Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"149","Australian family find giant Huntsman spider crawling in #Woolworths salad mix https://t.co/brwmlUwRz3 https://t.co/B4nrReIyN0"
"150","RT @topbargain: 2 x Uhu Glu Stick Stic 21g for $1.65 @ Woolworths.. #uhu #woolworths #Glue: Best price‚Ä¶ https://t.co/sBH6gghIGq https://t.c‚Ä¶"
"151","2 x Uhu Glu Stick Stic 21g for $1.65 @ Woolworths.. #uhu #woolworths #Glue: Best price‚Ä¶ https://t.co/sBH6gghIGq https://t.co/ixMmEo9Uov"
"152","RT @RowvilleCK: .@MyOtherK why do people buy plastic wrapped fresh food? Crazy #EatFresh #Woolworths #Melbourne #farmfresh  https://t.co/5A‚Ä¶"
"153","What went wrong at #Woolworths' Masters?... https://t.co/AIZ1dLIOxR"
"154","#Woolworths cream smells like heavenÌ†ΩÌ∏Ñ https://t.co/CTQZobeJLc"
"155","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"156","Fam RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/gTyl9727zu"
"157","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"158","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"159","#Woolworths is on Web9 - https://t.co/GmyLx2KoEI"
"160","Gone but not forgotten #Woolworths #Swindon https://t.co/xj5fx8qMT0"
"161","RT @Naturally_Ebony: |REPLAY| The A&amp;T Four #blackhistory #Woolworths #AGGIEPRIDE #katch #Periscope https://t.co/5NhrAupKWw https://t.co/EC0‚Ä¶"
"162","#Woolworths is on Web9 - https://t.co/V3Ub1DAqzC"
"163","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"164","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"165","And don't believe labels that say, ""washed &amp; ready to eat"". #Coles #Woolworths #freshfood  https://t.co/3Tx524TEbr"
"166","#Woolworths Just been abused by an elderly woollies staff member at Wendouree.#woolliesincrisis"
"167","RT @theage: #Woolworths fined $3 million over dodgy products https://t.co/vxQEmQH9g7 https://t.co/OwRciHOpZN"
"168","All you need is love. But you also need a bottle of bubbles to celebrate it with. #ValentinesDay #Woolworths... https://t.co/4lpLKWI6is"
"169","Salmonella outbreak spreads as numbers of infected increase #TripodFarmers #Woolworths https://t.co/1LHJGApe4o https://t.co/xkDJQOPpu4"
"170","RT @theage: #Woolworths fined $3 million over dodgy products https://t.co/vxQEmQH9g7 https://t.co/OwRciHOpZN"
"171","@wendy_harmer @ADDventurous @macleanbrendan I just hope the lettuce isn't from #Woolworths"
"172","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"173","When strategic leadership disappears, so does competitive advantage. Eg #Woolworths in AU keeps losing at everything nowadays."
"174","What's with these ridiculous prices for #avocado? Hope it's short term, not happy being ripped off @coles #Woolworths"
"175","RT @tomglasson: Between this and salmonella, it's been a shocking 24 hours for salad. #SalmonellaMutantSpider #Woolworths  https://t.co/g4Z‚Ä¶"
"176","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"177","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"178","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"179","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"180","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"181","Guess who doesn't have #salmonella in their salad? Every #MeGrow #microfarmer. #coles #woolworths #liteneasy #lettuce #fail"
"182","RT @theheraldsun: #Salmonella outbreak: Full list of affected @Coles, #Woolworths salad products here.
https://t.co/8uTs6hDHxt https://t.co‚Ä¶"
"183","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"184","RT @theage: #Woolworths fined $3 million over dodgy products https://t.co/vxQEmQH9g7 https://t.co/OwRciHOpZN"
"185","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"186","A bad week for salad.  Perhaps a reminder for all that pre-packaged foods will never be as good as fresh from your local farmer? #woolworths"
"187","RT @theage: #Woolworths fined $3 million over dodgy products https://t.co/vxQEmQH9g7 https://t.co/OwRciHOpZN"
"188","RT @theage: Large, live spider found in #Woolworths salad mix https://t.co/WoQ9LlTKvg https://t.co/K8jpB2SXKp"
"189","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"190","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"191","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"192","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"193","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"194","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"195","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"196","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"197","hope theres no spider in my salad #woolworths"
"198","Missing millions date back to #Woolworths ownership -  https://t.co/u5zGZZ2CtN via smh"
"199","The mini-ness is just too adorable.
#woolies
#woolworths 
#cupcake 
#sugar https://t.co/DwgXwiqaPw"
"200","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"201","Never shopped w #Woolworths Online? Get 10% OFF, FREE DELIVERY &amp; #CASHBACK via this link &gt;&gt; https://t.co/bqeUPBcMpB https://t.co/IDRQEvG732"
"202","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"203","""It was that Woolies bagged lettuce"" ...(not the 3 day old taco mince)..., says the pending rich man. #LettuceRecall #Woolworths"
"204","RT @GlongEnviroInc: #Lettuce recall at #Coles, #Woolworths: Why we should avoid pre-packaged greens  https://t.co/kNmuaHymj0 via @geelongad‚Ä¶"
"205","RT @7NewsSydney: Woolworths pull batch from shelves after Brisbane man finds dead cockroach inside caesar salad. https://t.co/LhJS9tOz3D #W‚Ä¶"
"206","RT @7NewsSydney: Woolworths pull batch from shelves after Brisbane man finds dead cockroach inside caesar salad. https://t.co/LhJS9tOz3D #W‚Ä¶"
"207","RT @7NewsSydney: Woolworths pull batch from shelves after Brisbane man finds dead cockroach inside caesar salad. https://t.co/LhJS9tOz3D #W‚Ä¶"
"208","Woolworths pull batch from shelves after Brisbane man finds dead cockroach inside caesar salad. https://t.co/LhJS9tOz3D #Woolworths #7News"
"209","Someone found a whole wombat in a packet of baby spinach - LOL #woolworths the fresh food people. Spose you gotta laugh a bit"
"210","#Lettuce recall at #Coles, #Woolworths: Why we should avoid pre-packaged greens  https://t.co/kNmuaHymj0 via @geelongaddy"
"211","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"212","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"213","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"214","RT @abcnews: Sydney woman films huge spider crawling inside bag of #Woolworths pre-packaged salad https://t.co/uD1Cdq18Zq https://t.co/ebHF‚Ä¶"
"215","#Woolworths ordered to pay $3.5m over product safety case https://t.co/nJqN9uR0hi https://t.co/5bvNRe5n7x"
"216","RT @theage: Large, live spider found in #Woolworths salad mix https://t.co/WoQ9LlTKvg https://t.co/K8jpB2SXKp"
